Жил х сечение;Сечение фазы;Сечение заземления;Iдоп., ф. укладки T1Д;Iдоп., ф. укладки T2-;Iдоп., ф. укладки H1Д;Iдоп., ф. укладки H2-;Диаметр, мм;r, Ом/км;x, Ом/км;r0, Ом/км;x0, Ом/км
1x1,5;1,5;;;;;;;;;27,70;2,37
1x2,5;2,5;;30,00;30,00;22,00;22,00;6,65;9,61;0,09;17,70;2,34
1x4;4;;39,00;39,00;30,00;30,00;6,65;9,61;0,09;11,70;2,31
1x6;6;;48,00;48,00;37,00;37,00;7,16;6,41;0,09;8,51;2,27
1x10;10;;63,00;63,00;50,00;50,00;7,97;3,84;0,08;5,94;2,24
1x16;16;;82,00;82,00;68,00;68,00;9,50;2,40;0,08;4,50;2,20
1x25;25;;106,00;106,00;92,00;92,00;11,30;1,54;0,06;3,64;2,17
1x35;35;;127,00;127,00;113,00;113,00;12,30;1,10;0,06;3,30;2,14
1x50;50;;150,00;150,00;139,00;139,00;13,90;0,77;0,06;2,87;2,08
1x70;70;;184,00;184,00;176,00;176,00;15,60;0,55;0,06;2,65;2,07
1x95;95;;221,00;221,00;217,00;217,00;17,40;0,41;0,06;2,51;2,05
1x120;120;;252,00;252,00;253,00;253,00;19,20;0,32;0,06;2,42;2,03
1x150;150;;283,00;283,00;290,00;290,00;20,90;0,26;0,06;2,36;2,00
1x185;185;;321,00;321,00;336,00;336,00;22,80;0,21;0,06;2,26;1,98
1x240;240;;374,00;374,00;401,00;401,00;25,80;0,16;0,06;2,16;1,96
1x400;400;;485,00;485,00;544,00;544,00;;0,10;0,06;2,16;1,96
3x1,5;1,5;1,5;;;;;;25,63;0,10;27,70;2,37
3x2,5;2,5;2,5;28,00;28,00;21,00;21,00;;15,38;0,10;17,70;2,34
3x4;4;4;37,00;37,00;29,00;29,00;;9,61;0,09;11,70;2,31
3x6;6;6;44,00;44,00;37,00;37,00;;6,41;0,09;8,51;2,27
3x10;10;10;59,00;59,00;50,00;50,00;;3,84;0,08;5,94;2,24
3x16;16;16;77,00;77,00;67,00;67,00;;2,40;0,08;4,50;2,20
3x25;25;25;102,00;102,00;87,00;87,00;;1,54;0,06;3,64;2,17
3x35;35;35;123,00;123,00;106,00;106,00;;1,10;0,06;3,30;2,14
3x50;50;50;143,00;143,00;126,00;126,00;;0,77;0,06;2,87;2,08
3x70;70;70;178,00;178,00;161,00;161,00;;0,55;0,06;2,65;2,07
3x95;95;95;214,00;214,00;197,00;197,00;;0,41;0,06;2,51;2,05
3x120;120;120;244,00;244,00;229,00;229,00;;0,32;0,06;2,42;2,03
3x150;150;150;274,00;274,00;261,00;261,00;;0,26;0,06;2,36;2,00
3x185;185;185;312,00;312,00;302,00;302,00;;0,21;0,06;2,26;1,98
3x240;240;240;363,00;363,00;359,00;359,00;;0,16;0,06;2,16;1,96
3x16/10;16;16;77,00;77,00;67,00;67,00;;2,40;0,08;4,39;1,56
3x25/16;25;16;102,00;102,00;87,00;87,00;22,20;1,54;0,07;3,42;1,26
3x35/16;35;16;123,00;123,00;106,00;106,00;25,00;1,10;0,07;2,97;1,24
3x50/25;50;25;143,00;143,00;126,00;126,00;28,20;0,77;0,07;2,45;0,95
3x70/35;70;35;178,00;178,00;161,00;161,00;33,10;0,55;0,07;2,04;0,74
3x95/50;95;50;214,00;214,00;197,00;197,00;36,30;0,41;0,06;1,67;0,56
3x120/70;120;70;244,00;244,00;229,00;229,00;40,60;0,32;0,06;1,54;0,55
3x150/70;150;70;274,00;274,00;261,00;261,00;43,60;0,26;0,06;1,28;0,43
3x185/95;185;95;312,00;312,00;302,00;302,00;47,80;0,21;0,06;1,13;0,34
3x240/120;240;120;363,00;363,00;359,00;359,00;50,00;0,16;0,06;0,98;0,25
4x1,5;1,5;1,5;;;;;;25,63;0,11;15,71;2,33
4x2,5;2,5;2,5;26,04;26,04;19,53;19,53;11,10;15,38;0,10;13,71;2,22
4x4;4;4;34,41;34,41;26,97;26,97;13,20;9,61;0,10;11,71;2,11
4x6;6;6;40,92;40,92;34,41;34,41;14,50;6,41;0,09;8,71;1,97
4x10;10;10;54,87;54,87;46,50;46,50;16,40;3,84;0,09;5,90;1,81
4x16;16;16;71,61;71,61;62,31;62,31;19,10;2,40;0,08;4,39;1,56
4x25;25;16;94,86;94,86;80,91;80,91;25,40;1,54;0,07;3,42;1,26
4x35;35;16;114,39;114,39;98,58;98,58;27,80;1,10;0,07;2,97;1,24
4x50;50;25;132,99;132,99;117,18;117,18;31,90;0,77;0,07;2,45;0,95
